BDIR CTP1 CTP2 CTP3 CTP4 CTP5 BDp1_fin BDp2_fin BDp3_fin BDp4_fin BDp5_fin
27105.2 0.865387 4643.16 3778.12 4532.68 6450.74 39726 16118.4 18323.3 16375.4 12658.3
27386.2 0.875843 4700.76 3824.74 4588.88 6531.83 39710.3 16145.8 18348.4 16402.5 12687.7
27159.3 0.867058 4652.66 3785.78 4541.95 6464.18 39716.4 16144.9 18347.8 16401.7 12686.8
27049 0.861917 4623 3762.03 4513.05 6421.36 39719.9 16152.2 18354.7 16408.9 12694.7
27010.7 0.860212 4612.22 3753.55 4502.58 6405.22 39726.6 16147.6 18350.7 16404.4 12689.4
26938.8 0.856173 4589.88 3735.48 4480.78 6373.72 39726.3 16153.5 18356.2 16410.2 12695.8
26909.5 0.853295 4574.7 3723.08 4465.96 6352.83 39728.8 16162.7 18365 16419.4 12705.5
27016.7 0.855868 4589.64 3735.04 4480.51 6374.37 39725.8 16159.9 18361.9 16416.5 12703.2
27177.2 0.859609 4611.12 3752.28 4501.45 6405.19 39722.6 16166.1 18367.3 16422.6 12710.5
27319.9 0.86185 4624.53 3762.95 4514.5 6424.82 39715.3 16180.8 18380.3 16437.2 12727.4
27389.3 0.86121 4622.23 3760.86 4512.22 6422.54 39704.7 16190.4 18388.5 16446.7 12739.2
27444.9 0.858801 4611.01 3751.43 4501.22 6408.14 39682.9 16214.5 18409.5 16470.3 12766.9
27559.3 0.858887 4612.94 3752.77 4503.07 6411.7 39660.7 16239.2 18431.4 16494.8 12794.7
27628.8 0.855965 4599 3741.15 4489.42 6393.36 39617.3 16262.9 18451.5 16518.1 12822.5
27551.3 0.845425 4545.14 3696.87 4436.76 6320.27 39566.6 16304.7 18488.6 16559.5 12868.8
27323.7 0.830058 4466.17 3632 4359.58 6213.03 39497.3 16316.2 18496 16570.5 12884
27326.2 0.824355 4438.89 3609.23 4332.85 6177.38 39449.3 16326.6 18503.7 16580.6 12896.9
27403.1 0.821993 4429.26 3600.87 4323.37 6166.03 39400.1 16338.8 18512.6 16592.5 12912.8
27457.7 0.818986 4416.01 3589.6 4310.36 6149.58 39340.8 16349.3 18518.8 16602.5 12928.2
27491.4 0.814596 4394.89 3572 4289.68 6121.9 39261.2 16357.5 18521.4 16610.1 12943.4
27524.2 0.811748 4379.84 3559.72 4274.98 6101.07 39165.8 16342.4 18500.4 16594.4 12936.6
27523.3 0.81032 4371.89 3553.32 4267.23 6089.74 39105.4 16325.9 18480.3 16577.4 12925.4
27503.1 0.808561 4362.06 3545.4 4257.65 6075.72 39039 16304.2 18454.7 16555.3 12909.4
27481.8 0.806793 4352.54 3537.66 4248.36 6062.43 38995.3 16294.7 18442.5 16545.5 12903.9
27452.5 0.803904 4337.65 3525.44 4233.8 6042.17 38937.5 16284.8 18428.8 16535.1 12899.4
27432 0.801225 4324.45 3514.49 4220.89 6024.66 38892.5 16277.3 18418.4 16527.3 12896
27405.8 0.797624 4306.8 3499.84 4203.61 6001.34 38833.5 16263.1 18400.7 16512.7 12886.9
27375.8 0.793475 4285.84 3482.55 4183.11 5973.13 38750.6 16243.5 18376.1 16492.5 12874.3
27366.6 0.7918 4276.89 3475.27 4174.37 5960.69 38681.7 16228 18356.3 16476.5 12865.2
27363.2 0.79115 4272.78 3472.04 4170.38 5954.46 38594.6 16201.4 18324.5 16449.4 12846.6
27349.1 0.790188 4266.87 3467.37 4164.63 5945.69 38516 16176.1 18294.2 16423.5 12828.9
27312.5 0.78811 4255.36 3458.07 4153.41 5929.43 38442.3 16146.8 18260.5 16393.7 12806.8
27267 0.784891 4238.53 3444.29 4136.96 5906.37 38349.7 16110.1 18218.4 16356.3 12778.7
27208.1 0.780442 4215.89 3425.65 4114.83 5875.82 38258.6 16079.6 18182.4 16325.2 12756.5
27120.7 0.775203 4189.14 3403.64 4088.67 5839.66 38169.2 16050 18147.9 16295.1 12734.3
27038.3 0.769985 4162.38 3381.65 4062.52 5803.37 38076.3 16028.3 18120.8 16272.7 12720.2
27006.6 0.767869 4151.42 3372.67 4051.81 5788.29 38001 16014.3 18102.3 16258.2 12712.5
26979.5 0.766827 4145.31 3367.82 4045.87 5779.3 37937.7 16004.5 18088.7 16247.9 12707.7
26932.7 0.76581 4139.17 3362.95 4039.9 5770.23 37899.5 15995.3 18077.3 16238.5 12701.6
26900.7 0.765741 4138.4 3362.4 4039.16 5768.85 37873.5 15984.8 18065.3 16227.8 12693.4
26886.3 0.76677 4143.74 3366.77 4044.37 5776.12 37852 15972.9 18052.1 16215.8 12684.1
26823.5 0.767133 4145.12 3367.99 4045.73 5777.72 37818.9 15952.2 18029 16194.8 12667.9
26695.8 0.768167 4149.41 3371.67 4049.95 5782.97 37775.1 15909.8 17983.7 16152 12631.8
26494.4 0.771469 4165.02 3384.72 4065.24 5803.38 37716.6 15841.4 17911.6 16083.1 12572.2
26232.3 0.780836 4209.82 3422.11 4109.13 5861.9 37650.5 15748.5 17815.1 15989.7 12489.1
25971.9 0.788623 4245.25 3452.04 4143.88 5906.67 37616.6 15682.9 17748.6 15923.9 12427.5
25550.9 0.794916 4273.58 3476.04 4171.69 5942.23 37612 15627.5 17694.5 15868.6 12372.5
25277 0.802166 4312.86 3507.94 4210.02 5997.1 37656 15599.6 17672 15841.4 12337.5
25052.6 0.803027 4320.11 3513.37 4217.03 6009.11 37709 15620.3 17696.5 15862.5 12351.7
24622 0.799743 4306.75 3501.73 4203.87 5993.72 37814.6 15676.4 17759.2 15919.4 12396
24372.3 0.802604 4324.93 3516.05 4221.54 6020.74 37946 15752.8 17843.5 15996.8 12458.2
24295.6 0.804159 4333.8 3523.2 4230.19 6033.32 37996.5 15785 17878.7 16029.3 12484.7
24120.1 0.804919 4338.31 3526.8 4234.58 6039.74 38094.6 15846.1 17946.1 16091.2 12534.3
23868.6 0.805311 4342.63 3529.96 4238.74 6047.15 38262.4 15951 18061.3 16197.3 12619.9
23946.8 0.819579 4423.71 3595.19 4317.77 6162.58 38490.8 16080.7 18204.6 16328.7 12725.5
23797.4 0.823342 4445.84 3612.84 4339.32 6194.85 38686.4 16180.9 18314.4 16430 12810.2
