CTP1 CTP2 CTP3 CTP4 CTP5 BDp1_fin BDp2_fin BDp3_fin BDp4_fin BDp5_fin
0.0295444 756.446 954.941 1118.92 1242.24 7072.74 3437.86 2925.55 2575 2345.87
0.0295445 756.448 954.943 1118.92 1242.25 7072.74 3437.86 2925.55 2575 2345.87
0.0295444 756.448 954.942 1118.92 1242.25 7072.74 3437.86 2925.55 2575 2345.87
0.0295445 756.45 954.946 1118.92 1242.25 7072.74 3437.86 2925.55 2575 2345.87
0.0295444 756.446 954.94 1118.92 1242.24 7072.74 3437.86 2925.55 2575 2345.87
0.0295445 756.448 954.943 1118.92 1242.25 7072.74 3437.86 2925.55 2575 2345.87
0.0295444 756.448 954.942 1118.92 1242.25 7072.74 3437.86 2925.55 2575 2345.87
0.0295446 756.451 954.947 1118.92 1242.25 7072.74 3437.86 2925.55 2575 2345.87
0.0295443 756.445 954.939 1118.91 1242.24 7072.74 3437.86 2925.55 2575 2345.87
0.0295445 756.448 954.943 1118.92 1242.25 7072.74 3437.86 2925.55 2575 2345.87
0.0295444 756.448 954.942 1118.92 1242.25 7072.74 3437.86 2925.55 2575 2345.87
0.0295446 756.451 954.946 1118.92 1242.25 7072.74 3437.86 2925.55 2575 2345.87
0.0295443 756.445 954.939 1118.91 1242.24 7072.74 3437.86 2925.55 2575 2345.87
0.0295445 756.448 954.943 1118.92 1242.25 7072.74 3437.86 2925.55 2575 2345.87
0.0295444 756.448 954.942 1118.92 1242.25 7072.74 3437.86 2925.55 2575 2345.87
0.0295445 756.45 954.945 1118.92 1242.25 7072.74 3437.86 2925.55 2575 2345.87
0.0295444 756.447 954.941 1118.92 1242.25 7072.74 3437.86 2925.55 2575 2345.87
0.0295445 756.448 954.943 1118.92 1242.25 7072.74 3437.86 2925.55 2575 2345.87
0.0295444 756.448 954.942 1118.92 1242.25 7072.74 3437.86 2925.55 2575 2345.87
0.0295448 756.456 954.953 1118.93 1242.26 7072.74 3437.86 2925.55 2575 2345.87
0.0295441 756.44 954.932 1118.91 1242.23 7072.74 3437.86 2925.55 2575 2345.87
0.0295445 756.449 954.944 1118.92 1242.25 7072.74 3437.86 2925.55 2575 2345.87
0.0295444 756.447 954.942 1118.92 1242.25 7072.74 3437.86 2925.55 2575 2345.87
0.0295451 756.464 954.963 1118.94 1242.27 7072.74 3437.86 2925.55 2575 2345.87
