Bcru CTP1 CTP2 CTP3 CTP4 CTP5 BDp1_fin BDp2_fin BDp3_fin BDp4_fin BDp5_fin
27835.6 0.0193498 295.987 988.263 702.579 594.281 36565.3 27232.6 17464.8 20421.1 21850.1
29296.7 0.0198286 304.379 1026.16 726.413 613.514 35685.5 26567 16983.9 19891.9 21294.8
25125.5 0.0178537 273.669 918.66 651.592 550.691 33697.5 25131.6 16036.2 18802.6 20135.4
23975.4 0.0170637 261.645 878.935 623.236 526.666 30696 22910.8 14599.3 17132 18350.6
24501.4 0.0174528 267.543 898.19 637.054 538.395 32250.5 24062.1 15344.7 17998.5 19276.2
23749.3 0.0169744 260.103 872.177 618.936 523.18 30415.1 22703 14481.6 16985.1 18190.2
23131.4 0.0165486 253.551 849.891 603.226 509.93 27238.3 20344 12986.7 15227.8 16306.4
23518.4 0.0170791 261.517 875.076 621.582 525.589 22218.8 16613.6 10642.9 12460.4 13335.6
25091.6 0.0189078 289.275 965.629 686.645 580.822 15555.2 11625.5 7459.04 8725.76 9336.15
24154.1 0.0177991 272.425 910.459 647.069 547.244 19366.7 14487.9 9300.26 10878.6 11638.8
25830.6 0.0192873 295.145 985.859 700.825 592.757 16729 12523.2 8069.81 9423.49 10075.9
24673.9 0.0183022 280.081 935.636 665.092 562.526 18386.7 13761.5 8849.24 10343.3 11063.1
26911.5 0.0198338 303.64 1015.53 721.5 610.123 17376.9 12995.9 8371.34 9776.53 10453.8
29852.2 0.0211773 324.614 1089.57 772.861 653.191 16860 12585.4 8114.56 9471.8 10126.2
29246.2 0.0209602 321.142 1076.52 764.051 645.876 16460.4 12296 7930.78 9256.2 9895.25
28233.7 0.0205728 314.994 1053.86 748.623 633.026 15826.3 11837.7 7639.92 8914.92 9529.59
28930.3 0.0208825 319.78 1070.26 760.155 642.74 15237.5 11398.2 7361.53 8587.58 9178.63
28402.5 0.0206485 316.165 1057.87 751.443 635.402 15679.4 11728.1 7570.56 8833.34 9442.11
28418.7 0.0206439 316.082 1057.47 751.198 635.206 15509.2 11603 7490.65 8739.81 9341.98
28900.4 0.0207072 317.014 1060.09 753.234 636.974 13910.1 10423 6736.39 7857.19 8397.21
31605.3 0.0216331 331.379 1109.71 788.017 666.239 11466.9 8607.4 5576.05 6498.67 6942.86
37327.1 0.0236065 362.049 1216.23 862.494 728.849 8270.42 6223.35 4046.83 4710.52 5029.6
46095.9 0.0263198 404.367 1364.53 965.785 815.559 5447.39 4112.33 2685.54 3121.91 3331.26
42015.2 0.0251012 385.342 1297.68 919.278 776.534 6547.57 4936.22 3217.71 3742.61 3994.66
49186.2 0.0279226 429.018 1447.95 1024.75 865.333 5668.99 4273.88 2793.19 3245.71 3462.86
43207.2 0.0255927 392.943 1323.76 937.604 791.969 6375.93 4807.47 3135.44 3646.21 3891.45
43697.6 0.0258118 396.329 1335.35 945.76 798.841 6373.09 4806.59 3135.21 3645.89 3891.06
43953.4 0.0259484 398.428 1342.44 950.776 803.077 6417.18 4840.25 3157.3 3671.55 3918.41
44368 0.0261743 401.896 1354.11 959.047 810.064 6499.22 4902.53 3198.15 3718.97 3968.98
48758.9 0.028466 437.077 1472.48 1042.95 880.945 7335.18 5537.28 3614.64 4202.42 4484.5
47042.6 0.0275749 423.396 1426.44 1010.32 853.378 7006.69 5287.81 3450.92 4012.4 4281.88
50819 0.0296555 455.365 1534.25 1086.66 917.85 7910.1 5973.44 3899.71 4533.92 4838.2
58389 0.0340398 522.759 1761.79 1247.69 1053.83 9868.68 7460.16 4874.04 5665.63 6045.21
84870.6 0.0480787 738.962 2496.09 1765.94 1491.02 13986.5 10555.6 6898.73 8019.01 8555.67
58960.6 0.0343447 527.446 1777.63 1258.9 1063.29 9975.22 7540.87 4926.96 5727.1 6110.76
60298.1 0.0356681 547.632 1844.47 1306.59 1103.68 10113.3 7646.12 4995.38 5806.91 6196
59182.8 0.0345481 530.552 1787.94 1266.24 1069.51 10014 7570.49 4946.22 5749.56 6134.75
59678.1 0.0350339 537.961 1812.47 1283.75 1084.33 10049.5 7597.43 4963.85 5770.06 6156.62
62268.1 0.0377664 579.587 1949.89 1381.94 1167.53 10113.9 7645.96 4995.76 5807.08 6196.07
68606.6 0.0451417 691.565 2316.5 1644.8 1390.56 10205.2 7714.54 5040.57 5859.2 6251.68
69778 0.0463834 710.381 2377.8 1688.84 1427.96 10297.6 7784.83 5086.73 5912.79 6308.83
81587.1 0.0593319 906.008 3010.34 2144.8 1815.57 11198.9 8470.73 5537.06 6435.74 6866.43
83673.3 0.0578483 883.681 2938.87 2093.06 1771.51 12088.3 9149.78 5982.81 6953.51 7418.55
85178.2 0.0586964 896.888 2984.88 2125.19 1798.52 13857.6 10500.2 6870.62 7984.15 8517.3
82842.2 0.0575124 878.797 2924.67 2082.33 1762.24 12637.1 9568.64 6258.16 7273.15 7759.31
107488 0.0651576 993.221 3285.74 2345.34 1986.68 13137.5 9950.43 6508 7563.89 8069.5
84972.8 0.0578137 883.283 2938.64 2092.56 1770.99 12867.2 9744.5 6373.27 7407.09 7902.21
113125 0.0635375 968.679 3205.85 2287.92 1937.92 13156.7 9965.45 6518.18 7575.57 8081.9
89875.4 0.0592356 904.551 3005.64 2141.4 1812.68 12926.7 9789.93 6403.06 7441.73 7939.16
91733.9 0.0604904 923.438 3066.14 2185.18 1849.96 12962.4 9817.26 6420.85 7462.53 7961.36
91569 0.0604371 922.676 3064.05 2183.56 1848.54 13010.5 9854.45 6445.04 7490.83 7991.6
89886.1 0.0598758 914.622 3041.69 2166.29 1833.5 13502.5 10234.6 6691.94 7780 8300.56
90645.3 0.0601329 918.319 3052.02 2174.24 1840.42 13280.3 10062.9 6580.51 7649.45 8161.05
88689.8 0.059391 907.477 3020.13 2150.26 1819.73 13676.2 10369.1 6779.02 7882.18 8409.79
85530.4 0.0582672 891.113 2972.56 2114.29 1788.64 14427.6 10950.4 7154.6 8323.35 8881.56
84938.8 0.0595484 911.402 3046.24 2164.86 1830.85 15813.8 12019 7844.43 9133.46 9747.93
85523.3 0.0582884 891.448 2973.77 2115.12 1789.33 14449 10966.9 7165.3 8335.9 8894.98
85484.7 0.0583226 892.001 2975.87 2116.54 1790.51 14499.4 11005.7 7190.4 8365.3 8926.39
85084.3 0.0586603 897.468 2996.7 2130.56 1802.13 15012.5 11400.5 7446.15 8665.04 9246.77
83024.6 0.0587859 900.18 3012.51 2139.74 1809.26 16164.7 12287.3 8019.15 9337.39 9965.69
84412.9 0.0587049 898.409 3002.05 2133.69 1804.57 15378.2 11681.9 7628.17 8878.49 9474.97
84589.4 0.0586935 898.167 3000.66 2132.88 1803.94 15281.2 11607.2 7579.88 8821.85 9414.41
84591.3 0.0595075 910.751 3043.81 2163.21 1829.48 15668.6 11905 7772.42 9047.66 9655.82
84590.4 0.0588381 900.402 3008.32 2138.27 1808.47 15349.8 11660 7613.97 8861.83 9457.15
84438.4 0.0589064 901.491 3012.34 2141.01 1810.75 15421.4 11715 7649.55 8903.56 9501.77
82927.5 0.0595921 912.429 3052.71 2168.53 1833.68 16157.1 12280.2 8014.51 9331.86 9959.77
83874 0.0591609 905.55 3027.31 2151.22 1819.26 15691.2 11922.2 7783.44 9060.64 9669.72
82634.2 0.060051 919.466 3076.37 2185.3 1847.85 16251.5 12352.5 8060.71 9386.3 10018.1
81571.8 0.0609499 933.479 3125.44 2219.49 1876.55 16766.6 12748 8315.24 9685.49 10338.2
80168.8 0.0621664 952.452 3191.95 2265.8 1915.42 17467.4 13286.1 8661.02 10092.3 10773.5
77478.5 0.0642634 985.173 3306.84 2345.75 1982.51 18724.8 14251.5 9279.59 10821.1 11553.9
