Bcru CTP1 CTP2 CTP3 CTP4 CTP5 BDp1_fin BDp2_fin BDp3_fin BDp4_fin BDp5_fin
30735.1 0.00947441 5029.16 3550 2996 1937.02 41458.3 24291.6 27650.7 29155.7 32547.6
30413.5 0.00978084 5173.95 3656.15 3086.79 1997.17 40713.8 23618.1 26937 28427.9 31797.3
29954.2 0.0102567 5397.08 3820.14 3227.16 2090.3 39647.6 22639.2 25901.3 27372.5 30711.7
29597 0.0107978 5658.51 4010.38 3389.46 2197.31 38273 21618.9 24787.2 26219.9 29480.7
29296.6 0.0115165 5995.48 4257.97 3601.39 2337.94 37202.9 20570.4 23686.9 25103.2 28343.5
29197.2 0.0122071 6320.2 4496.3 3805.33 2473.17 36560.7 19880.1 22971.1 24380.8 27618.1
28792.3 0.0128122 6578.68 4692.27 3974.89 2587.88 35714.2 18828.6 21898.3 23306.8 26562.3
27980 0.0134973 6830.03 4893.58 4152.23 2711.64 35097.5 17361 20473.6 21917.9 25295.8
28384.4 0.0131534 6705.06 4793.15 4063.66 2649.71 35410.9 18111.6 21202.2 22628.1 25943.4
28033 0.0137106 6926.56 4965.18 4213.76 2752.77 35360.8 17272.9 20426.2 21892.5 25329.3
27864.7 0.0145486 7267.6 5227.6 4442.05 2908.79 35748 16222.9 19512.6 21059.2 24725.4
28144.4 0.0154687 7675.35 5532.14 4704.36 3084.93 36513.3 15586.3 19023.4 20653.3 24549
28341.3 0.0161585 7983.75 5761.69 4901.86 3217.31 37924.8 15346.1 18979 20714.1 24889.4
28357.4 0.0161959 8006.07 5776.86 4914.51 3225.29 38393.9 15517.7 19196.5 20953.9 25183.4
28320.2 0.0166343 8217.28 5930.39 5045.48 3311.72 39094.6 15599 19358.4 21157.5 25494.7
27300.1 0.0169373 8348.38 6028.96 5130.61 3369.17 40359.9 15588.1 19503.7 21385.8 25941.4
25804.4 0.0164511 8105.31 5854.04 4981.97 3271.86 42337.8 16091.5 20215.1 22201.6 27019.7
26606 0.0167153 8237.15 5948.97 5062.65 3324.7 41259.3 15818 19828.1 21757.7 26432.5
26329.6 0.0167124 8242.76 5951.44 5064.26 3325.17 42169.7 16361.8 20446.9 22409.5 27157.7
26422.7 0.0171132 8432.83 6090.4 5183.04 3403.79 42543.3 16456.6 20581.6 22564.1 27362.1
26496.7 0.0181823 8930.96 6456.56 5496.63 3612.17 43367.7 16222.9 20464.9 22512.5 27487.3
26502.9 0.019218 9415.92 6812.43 5801.23 3814.36 45043.8 16382.6 20817.8 22966.5 28203.9
26547 0.0207555 10145 7345.28 6256.66 4115.88 48243.4 17024.3 21804.4 24129.4 29816.7
26625.9 0.02083 10181.6 7371.88 6279.32 4130.75 48529 17387.4 22180.1 24506.7 30188.3
26761.9 0.0205621 10057.5 7280.49 6201 4078.66 48385.3 17526.5 22294.3 24605.5 30241.8
27024.3 0.020825 10183.8 7372.39 6279.43 4130.43 48445.9 17444.3 22224.8 24543.8 30202.8
27046.1 0.0207786 10165.4 7358.03 6266.89 4121.83 49099.7 17688.2 22533.1 24883 30617.3
27197.8 0.0207833 10168.2 7360.03 6268.57 4122.89 50084.2 18201.8 23133.3 25522.7 31347.8
27818.1 0.0209864 10270.9 7433.72 6331.11 4163.73 50410.2 18565.4 23509.3 25901.2 31725.3
27927.7 0.0211143 10332.1 7478.31 6369.18 4188.88 50460.7 18549.1 23499.2 25895 31729.8
27888.3 0.0211211 10334.4 7480.14 6370.8 4190.04 50645.5 18532.4 23504.7 25912.7 31781
27853.8 0.0210918 10312.3 7465.83 6359.15 4183.04 50783.4 18467.6 23455.9 25874.3 31773.7
27880.7 0.021105 10318 7470.12 6362.86 4185.54 50840.6 18474 23468.3 25889.8 31797.8
27921.9 0.0211747 10350.1 7493.78 6383.14 4199.06 50983.1 18481.4 23490.7 25920.5 31850.8
27842.1 0.0211007 10309.7 7465.42 6359.27 4183.72 51135.1 18485.6 23507.5 25945 31898.1
27792.1 0.0212653 10372 7514.49 6402.31 4213.58 51848.7 18462.8 23556.2 26035.4 32106.3
27804.1 0.0213665 10413.4 7546.21 6429.88 4232.41 51393.8 18206.4 23252.6 25711.6 31739.3
27872.9 0.0215513 10494.3 7606.88 6482.21 4267.63 51353.7 18088.7 23130.7 25590.3 31625.8
27736.8 0.0216352 10518.1 7627.87 6501.28 4281.65 51393.7 17958.1 22995.1 25457.3 31511
27623.9 0.021971 10639.4 7725.16 6587.1 4341.76 51447.1 17597 22623.3 25092.5 31192.1
26969.2 0.0223491 10757.8 7825.55 6677.2 4406.7 51464.4 16737.4 21751.5 24240.5 30445.5
27323.9 0.0226974 10932.6 7951.05 6783.78 4476.42 51394.6 16704.3 21718.2 24206.3 30406.7
26916.3 0.0221109 10673.9 7757.49 6616.96 4364.3 51157.3 16874.1 21868.7 24339.7 30481.7
27393.9 0.0226995 10953.1 7961.56 6791.38 4479.76 51253.5 16845.1 21851.7 24329.8 30492.1
